epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1828.29,2.22626,1.6277,0.98356,0.72579,0.66155,0.58173,0.25443,2.17668,1.56455,0.95372,0.00333186,0.00333186,0.00333186
2,3563.48,1.82885,0.93252,0.90162,0.74035,0.659,0.61872,0.29933,2.17245,1.59501,0.96311,0.00659921,0.00659921,0.00659921
3,5241.54,1.74242,0.83917,0.88927,0.7518,0.681,0.63852,0.30184,2.12077,1.60052,0.95489,0.00980056,0.00980056,0.00980056
4,6920.6,1.63531,0.7795,0.87748,0.76599,0.68777,0.67189,0.33593,2.14619,1.66832,0.9604,0.009703,0.009703,0.009703
5,8620.3,1.51954,0.71957,0.86376,0.75436,0.68193,0.66416,0.32216,2.16233,1.70166,0.96291,0.009604,0.009604,0.009604
6,10328.5,1.44137,0.68237,0.8551,0.76589,0.69545,0.68643,0.34192,2.10476,1.70474,0.95406,0.009505,0.009505,0.009505
7,11958.5,1.38618,0.65663,0.84861,0.76257,0.69468,0.69001,0.34506,2.11171,1.72771,0.95473,0.009406,0.009406,0.009406
8,13529.7,1.3386,0.63542,0.84418,0.76161,0.69175,0.68395,0.34129,2.11164,1.75573,0.95705,0.009307,0.009307,0.009307
9,15077.5,1.30204,0.61859,0.83937,0.76245,0.69195,0.69056,0.34912,2.10435,1.77202,0.95382,0.009208,0.009208,0.009208
10,16598.8,1.2687,0.60372,0.83603,0.76615,0.69311,0.68632,0.35275,2.09472,1.74434,0.95476,0.009109,0.009109,0.009109
11,18116.8,1.24489,0.59357,0.83382,0.77225,0.68704,0.68814,0.34689,2.10646,1.73869,0.95751,0.00901,0.00901,0.00901
12,19628.1,1.22295,0.58328,0.83131,0.77142,0.68156,0.69288,0.34936,2.11712,1.75858,0.95894,0.008911,0.008911,0.008911
13,21114.2,1.20098,0.57268,0.82955,0.7735,0.68077,0.68658,0.34706,2.1128,1.79984,0.95835,0.008812,0.008812,0.008812
14,22560.9,1.18059,0.56464,0.82744,0.77188,0.6839,0.69106,0.34689,2.12234,1.77163,0.95996,0.008713,0.008713,0.008713
15,23984.5,1.16431,0.55627,0.82591,0.77971,0.68213,0.69079,0.35012,2.11302,1.79528,0.96049,0.008614,0.008614,0.008614
16,25508.6,1.14981,0.55153,0.82472,0.77506,0.6839,0.68544,0.34185,2.13353,1.78687,0.96276,0.008515,0.008515,0.008515
17,29280.4,1.13282,0.54321,0.82275,0.77843,0.67817,0.69189,0.34808,2.12091,1.79214,0.9615,0.008416,0.008416,0.008416
18,35359.8,1.12076,0.53806,0.82168,0.78262,0.68118,0.69669,0.35129,2.12296,1.77822,0.96168,0.008317,0.008317,0.008317
19,41443.3,1.10853,0.53265,0.82125,0.77862,0.67669,0.69373,0.35063,2.11313,1.78296,0.9615,0.008218,0.008218,0.008218
20,47430.8,1.10267,0.53064,0.82066,0.77823,0.68213,0.69625,0.35005,2.11929,1.79365,0.96275,0.008119,0.008119,0.008119
21,53437,1.08585,0.52192,0.8186,0.78064,0.6768,0.69415,0.35006,2.1183,1.79641,0.96294,0.00802,0.00802,0.00802
22,59476.1,1.08015,0.51868,0.81836,0.78317,0.67665,0.69463,0.34838,2.12326,1.80015,0.96402,0.007921,0.007921,0.007921
23,65614.3,1.07171,0.5152,0.81696,0.78495,0.68176,0.69675,0.34843,2.12549,1.80876,0.96463,0.007822,0.007822,0.007822
24,71605.9,1.06099,0.51081,0.81669,0.78671,0.67874,0.69263,0.34553,2.12866,1.81547,0.96517,0.007723,0.007723,0.007723
25,77699.5,1.05261,0.5066,0.81587,0.78429,0.68004,0.69177,0.34475,2.12843,1.81538,0.96517,0.007624,0.007624,0.007624
26,83890.2,1.04742,0.50463,0.81544,0.78391,0.68055,0.69169,0.34535,2.12735,1.81655,0.96559,0.007525,0.007525,0.007525
27,90030.7,1.03888,0.49956,0.81454,0.78389,0.681,0.69277,0.34741,2.12556,1.81304,0.96558,0.007426,0.007426,0.007426
28,96612.1,1.03015,0.49606,0.81426,0.78445,0.68068,0.69362,0.34736,2.12716,1.80957,0.9658,0.007327,0.007327,0.007327
29,102755,1.02568,0.49422,0.81314,0.78504,0.68087,0.69366,0.3471,2.1276,1.80998,0.96602,0.007228,0.007228,0.007228
30,108865,1.01929,0.49057,0.81318,0.78478,0.68081,0.69341,0.3466,2.12914,1.81226,0.96633,0.007129,0.007129,0.007129
